C骴igo del organismo;Nombre del organismo;A駉 Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
PP014;Partido Humanista (PH);2017;Ene - Mar;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos de personal;Pesos;0;0;0;0;0;0;0;0;0;21.983.333;35.319.872;38.957.160
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;0;0;0;0;0;0;0;0;0;21.273.282;9.633.205;37.106.960
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;10.500.000;3.570.000;14.000.000
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;0;0;0;0;0;0;0;0;0;7.193.531;5.911.459;61.527.864
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;4.489.760;7.811.271;167.531
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;999.999;0;42.400
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos de personal;Pesos;59.920.861;49.114.018;61.378.119;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;34.136.775;36.649.990;38.798.537;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;1.071.000;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;1.325.088;500.000;3.064.078;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Ene - Mar;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos de personal;Pesos;0;0;0;62.482.304;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;0;0;0;24.829.578;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;0;0;0;6.173.125;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP019;Partido Por la Democracia (PPD);2017;Abr - Jun;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP021;Partido Progresista (PRO);2016;Oct - Dic;Gastos de personal;Pesos;0;0;0;0;0;0;0;0;0;1.200.000;2.500.000;2.400.666
