codigo_organismo,nombre_organismo,anio_informado,trimestre_informado,item_de_gastos,unidad_monetaria,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,NA,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos de personal,Pesos,0,0,0,0,0,0,0,0,0,1200000,NA,NA
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2016,Oct - Dic,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,800000,NA,NA
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,NA
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,0,0,0,0,0,0,0,0,NA
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,NA
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2016,Oct - Dic,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2016,Oct - Dic,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2016,Oct - Dic,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de personal,Pesos,1402498,0,1000000,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,4793269,3616500,7870557,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Otros gastos de administración,Pesos,697797,909411,553059,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de personal,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,597963,116550,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP021,Partido Progresista (PRO),2017,Ene - Mar,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
